First discovered node abc at 1543049895.828363
First discovered node def at 1543049895.840707
First discovered node mno at 1543049895.852562
First discovered node jkl at 1543049895.8689332
Received RTT request from abc at 1543049895.875558
Received RTT request from abc at 1543049895.881483
Received RTT request from abc at 1543049895.888157
Received RTT request from abc at 1543049895.8886
Received new RTT sum from abc at 1543049896.0026171
Received new RTT sum from abc at 1543049896.043008
Received RTT request from jkl at 1543049896.2983959
Received RTT request from jkl at 1543049896.3599281
Received RTT request from jkl at 1543049896.395008
Received RTT request from jkl at 1543049896.418122
Received RTT request from jkl at 1543049896.4352808
Received RTT request from def at 1543049896.458216
Received RTT request from jkl at 1543049896.488354
Received RTT request from jkl at 1543049896.518858
Received RTT request from jkl at 1543049896.565207
Received RTT request from def at 1543049896.595438
Received RTT request from def at 1543049896.63771
Received RTT request from jkl at 1543049896.690518
Received RTT request from jkl at 1543049896.732505
Received RTT request from def at 1543049896.774142
Received RTT request from def at 1543049896.803205
Received RTT request from jkl at 1543049896.844766
Received RTT request from def at 1543049896.868914
Sent RTT request to abc at 1543049896.897181
Sent RTT request to def at 1543049896.903685
Sent RTT request to jkl at 1543049896.903827
Sent RTT request to mno at 1543049896.909844
Sent RTT request to def at 1543049896.927178
Sent RTT request to abc at 1543049896.9394078
Received RTT request from jkl at 1543049896.93955
Sent RTT request to jkl at 1543049896.952069
Sent RTT request to mno at 1543049896.952406
Sent RTT request to def at 1543049896.95246
Sent RTT request to jkl at 1543049896.957685
Sent RTT request to abc at 1543049896.958048
Sent RTT request to def at 1543049896.969059
Sent RTT request to mno at 1543049896.975144
Received RTT request from def at 1543049896.975168
Sent RTT request to def at 1543049896.9911659
Sent RTT request to mno at 1543049896.9914398
Sent RTT request to jkl at 1543049896.991733
Sent RTT request to abc at 1543049896.991833
Sent RTT request to def at 1543049896.997195
Received RTT request from jkl at 1543049897.002362
Sent RTT request to def at 1543049897.019511
Sent RTT request to mno at 1543049897.019595
Sent RTT request to jkl at 1543049897.024728
Received RTT request from def at 1543049897.024897
Sent RTT request to abc at 1543049897.025059
Sent RTT request to def at 1543049897.0253398
Sent RTT request to mno at 1543049897.0253901
Received RTT request from def at 1543049897.025766
Sent RTT request to jkl at 1543049897.025784
Sent RTT request to abc at 1543049897.03091
Sent RTT request to jkl at 1543049897.0373719
Sent RTT request to abc at 1543049897.074364
Sent RTT request to mno at 1543049897.0745258
Sent RTT request to def at 1543049897.0748951
Sent RTT request to jkl at 1543049897.080629
Sent RTT request to mno at 1543049897.106098
Received RTT request from jkl at 1543049897.106168
Sent RTT request to def at 1543049897.1061912
Sent RTT request to abc at 1543049897.106273
Sent RTT request to jkl at 1543049897.118922
Sent RTT request to mno at 1543049897.1189399
Received RTT request from jkl at 1543049897.1302972
Sent RTT request to def at 1543049897.130383
Sent RTT request to abc at 1543049897.136653
Sent RTT request to mno at 1543049897.143284
Sent RTT request to abc at 1543049897.1612139
Sent RTT request to def at 1543049897.161236
Sent RTT request to mno at 1543049897.1664908
Sent RTT request to jkl at 1543049897.166639
Received RTT request from jkl at 1543049897.17915
Sent RTT request to mno at 1543049897.209602
Sent RTT request to def at 1543049897.209802
Sent RTT request to abc at 1543049897.2098718
Sent RTT request to jkl at 1543049897.216347
Sent RTT request to def at 1543049897.23531
Sent RTT request to abc at 1543049897.247653
Sent RTT request to mno at 1543049897.247713
Received RTT request from jkl at 1543049897.247814
Sent RTT request to jkl at 1543049897.259385
Sent RTT request to def at 1543049897.259431
Sent RTT request to abc at 1543049897.266272
Received RTT request from jkl at 1543049897.2725189
Sent RTT request to mno at 1543049897.272539
Sent RTT request to def at 1543049897.2725608
Sent RTT request to jkl at 1543049897.285802
Sent RTT request to abc at 1543049897.285822
Sent RTT request to mno at 1543049897.2859478
Sent RTT request to def at 1543049897.285965
Received RTT request from def at 1543049897.303
Sent RTT request to abc at 1543049897.309546
Sent RTT request to jkl at 1543049897.320796
Sent RTT request to def at 1543049897.323207
Sent RTT request to mno at 1543049897.329105
Sent RTT request to abc at 1543049897.329243
Sent RTT request to def at 1543049897.329441
Received RTT request from def at 1543049897.3353758
Sent RTT request to mno at 1543049897.352243
Sent RTT request to jkl at 1543049897.352278
Sent RTT request to abc at 1543049897.3640058
Sent RTT request to def at 1543049897.3641632
Sent RTT request to jkl at 1543049897.364223
Sent RTT request to mno at 1543049897.3643851
Sent RTT request to mno at 1543049897.3702002
Sent RTT request to def at 1543049897.370254
Sent RTT request to abc at 1543049897.3754141
Received new RTT sum from jkl at 1543049897.381814
Sent RTT request to jkl at 1543049897.4006772
Sent RTT request to mno at 1543049897.400907
Sent RTT request to abc at 1543049897.400954
Sent RTT request to def at 1543049897.401035
Received RTT request from def at 1543049897.407682
Sent RTT request to mno at 1543049897.407698
Sent RTT request to jkl at 1543049897.4078138
Sent RTT request to abc at 1543049897.408024
Sent RTT request to def at 1543049897.408303
Sent RTT request to mno at 1543049897.408326
Sent RTT request to jkl at 1543049897.4119291
Sent RTT request to abc at 1543049897.424721
Received RTT request from def at 1543049897.4300349
Sent RTT request to def at 1543049897.43027
Sent RTT request to mno at 1543049897.430368
Sent RTT request to jkl at 1543049897.430897
Sent RTT request to abc at 1543049897.430977
Sent RTT request to def at 1543049897.436806
Sent RTT request to mno at 1543049897.43683
Sent RTT request to abc at 1543049897.448336
Sent RTT request to jkl at 1543049897.448375
Sent RTT request to mno at 1543049897.4484758
Received RTT request from def at 1543049897.460628
Sent RTT request to def at 1543049897.46684
Sent RTT request to abc at 1543049897.466912
Sent RTT request to jkl at 1543049897.46693
Sent RTT request to mno at 1543049897.467081
Sent RTT request to abc at 1543049897.4854841
Sent RTT request to jkl at 1543049897.485613
Sent RTT request to mno at 1543049897.485771
Received new RTT sum from jkl at 1543049897.509136
Sent RTT request to def at 1543049897.509166
Sent RTT request to mno at 1543049897.5147362
Sent RTT request to jkl at 1543049897.52104
Sent RTT request to abc at 1543049897.52116
Sent RTT request to def at 1543049897.521905
Sent RTT request to mno at 1543049897.521971
Sent RTT request to jkl at 1543049897.522052
Sent RTT request to abc at 1543049897.522241
Sent RTT request to jkl at 1543049897.5228758
Sent RTT request to def at 1543049897.52299
Sent RTT request to mno at 1543049897.523009
Sent RTT request to mno at 1543049897.529922
Sent RTT request to def at 1543049897.530024
Sent RTT request to jkl at 1543049897.533115
Received RTT request from mno at 1543049897.5334709
Sent RTT request to mno at 1543049897.5334961
Sent RTT request to def at 1543049897.564607
Sent RTT request to mno at 1543049897.569956
Sent RTT request to jkl at 1543049897.570017
Sent RTT request to jkl at 1543049897.570382
Sent RTT request to def at 1543049897.5707688
Received RTT request from mno at 1543049897.5762649
Sent RTT request to mno at 1543049897.57638
Sent RTT request to jkl at 1543049897.581602
Sent RTT request to def at 1543049897.587117
Sent RTT request to jkl at 1543049897.5873868
Sent RTT request to mno at 1543049897.587459
Received new RTT sum from abc at 1543049897.587507
Sent RTT request to def at 1543049897.587988
Sent RTT request to mno at 1543049897.5881312
Sent RTT request to jkl at 1543049897.594539
Received RTT request from mno at 1543049897.5946581
Sent RTT request to def at 1543049897.594774
Sent RTT request to jkl at 1543049897.595113
Sent RTT request to mno at 1543049897.595152
Sent RTT request to def at 1543049897.595169
Sent RTT request to jkl at 1543049897.595498
Sent RTT request to mno at 1543049897.5955148
Sent RTT request to def at 1543049897.595655
Sent RTT request to mno at 1543049897.5959702
Sent RTT request to jkl at 1543049897.596138
Sent RTT request to def at 1543049897.59661
Sent RTT request to mno at 1543049897.596809
Sent RTT request to jkl at 1543049897.596905
Received RTT request from mno at 1543049897.634688
Sent RTT request to def at 1543049897.640971
Sent RTT request to jkl at 1543049897.641034
Sent RTT request to mno at 1543049897.646212
Sent RTT request to jkl at 1543049897.651924
Received RTT request from mno at 1543049897.652077
Sent RTT request to mno at 1543049897.668927
Sent RTT request to def at 1543049897.669173
