First discovered node jkl at 1543156459.8638852
First discovered node def at 1543156459.907646
First discovered node abc at 1543156459.995171
First discovered node ghi at 1543156460.599125
Received RTT request from abc at 1543156461.040287
Received RTT request from abc at 1543156461.0951638
Received RTT request from abc at 1543156461.1243908
Received RTT request from def at 1543156463.9699829
Received RTT request from def at 1543156464.012798
Received RTT request from def at 1543156464.0616739
Received RTT request from def at 1543156464.080408
Received RTT request from ghi at 1543156464.591512
Received RTT request from ghi at 1543156464.633017
Sent RTT request to jkl at 1543156464.863748
Sent RTT request to def at 1543156464.870005
Sent RTT request to abc at 1543156464.881462
Calculated new RTT sum 0 at 1543156464.8941061
Sent RTT request to jkl at 1543156464.894135
Sent RTT request to ghi at 1543156464.910989
Sent RTT request to abc at 1543156464.911472
Sent RTT request to def at 1543156464.9114938
Initialized hub to mno at 1543156464.911544
Sent RTT request to ghi at 1543156464.9121568
Sent RTT request to abc at 1543156464.9123268
Sent RTT request to ghi at 1543156464.9126909
Sent RTT request to ghi at 1543156464.913301
Sent RTT request to def at 1543156464.9205198
Sent RTT request to ghi at 1543156464.926976
Sent RTT request to jkl at 1543156464.927108
Sent RTT request to abc at 1543156464.933385
Sent RTT request to def at 1543156464.933621
Calculated new RTT sum 0 at 1543156464.933686
Sent RTT request to ghi at 1543156464.934216
Sent RTT request to abc at 1543156464.939699
Sent RTT request to def at 1543156464.9462662
Sent RTT request to ghi at 1543156464.946573
Sent RTT request to abc at 1543156464.9468968
Sent RTT request to jkl at 1543156464.946919
Sent RTT request to ghi at 1543156464.946961
Sent RTT request to ghi at 1543156464.947547
Sent RTT request to abc at 1543156464.9529269
Sent RTT request to ghi at 1543156464.9532568
Sent RTT request to ghi at 1543156464.953745
Sent RTT request to ghi at 1543156464.954279
Sent RTT request to ghi at 1543156464.9600692
Sent RTT request to ghi at 1543156464.9666078
Received RTT request from jkl at 1543156464.9744499
Received RTT request from jkl at 1543156465.014166
Received RTT request from jkl at 1543156465.025857
Received RTT request from jkl at 1543156465.038453
Received RTT request from jkl at 1543156465.055708
Received RTT request from jkl at 1543156465.055915
Received RTT request from jkl at 1543156465.0560598
Received RTT request from abc at 1543156466.071363
Received RTT request from abc at 1543156466.071787
Received RTT request from abc at 1543156466.071863
Received RTT request from abc at 1543156466.08355
Received RTT request from abc at 1543156466.083644
Received RTT request from def at 1543156468.9949682
Received RTT request from def at 1543156469.04739
Received RTT request from ghi at 1543156469.705771
Received RTT request from ghi at 1543156469.711013
Received RTT request from ghi at 1543156469.7168279
Sent RTT request to jkl at 1543156470.005023
Sent RTT request to def at 1543156470.016165
Sent RTT request to abc at 1543156470.028575
Sent RTT request to ghi at 1543156470.035298
Calculated new RTT sum 0 at 1543156470.0411148
Sent RTT request to jkl at 1543156470.053749
Sent RTT request to abc at 1543156470.0547378
Sent RTT request to def at 1543156470.054785
Sent RTT request to ghi at 1543156470.060201
Sent RTT request to ghi at 1543156470.0610518
Sent RTT request to def at 1543156470.061248
Sent RTT request to abc at 1543156470.061269
Received RTT request from jkl at 1543156470.0664709
Sent RTT request to def at 1543156470.067521
Sent RTT request to ghi at 1543156470.067638
Sent RTT request to def at 1543156470.073389
Sent RTT request to ghi at 1543156470.073502
Received RTT request from jkl at 1543156470.084762
Received RTT request from abc at 1543156471.101176
Received RTT request from abc at 1543156471.1289039
Received RTT request from def at 1543156474.109962
Received RTT request from def at 1543156474.126886
Received RTT request from def at 1543156474.127958
Received RTT request from ghi at 1543156474.840437
Received RTT request from ghi at 1543156474.840499
Received RTT request from ghi at 1543156474.8535192
Received RTT request from ghi at 1543156474.859623
Sent RTT request to jkl at 1543156475.0943449
Sent RTT request to def at 1543156475.095207
Sent RTT request to abc at 1543156475.106534
Sent RTT request to jkl at 1543156475.106747
Sent RTT request to ghi at 1543156475.106841
Calculated new RTT sum 0 at 1543156475.1071181
Received RTT request from jkl at 1543156475.107712
Sent RTT request to def at 1543156475.108118
Sent RTT request to abc at 1543156475.10814
Sent RTT request to ghi at 1543156475.1082182
Sent RTT request to jkl at 1543156475.1087859
Sent RTT request to def at 1543156475.108955
Sent RTT request to abc at 1543156475.115735
Sent RTT request to ghi at 1543156475.1159081
Sent RTT request to jkl at 1543156475.1161752
Sent RTT request to jkl at 1543156475.122355
Sent RTT request to ghi at 1543156475.122383
Sent RTT request to abc at 1543156475.122493
Sent RTT request to jkl at 1543156475.128629
Sent RTT request to abc at 1543156475.1288471
Sent RTT request to jkl at 1543156475.142415
Received RTT request from jkl at 1543156475.1436548
Received RTT request from abc at 1543156476.198194
Received RTT request from abc at 1543156476.222111
Received RTT request from abc at 1543156476.228999
